,FD01_flux,FD01_flux_filled
101,,0.03198550123661595
102,,0.03244856566960693
103,,0.04412448812712287
104,,0.042097649151338234
105,,0.03793913413768046
106,,0.03544217822678971
107,,0.037012396787581635
108,,0.027703741010483472
109,,0.023495030753317055
110,,0.02885983830806765
111,,0.01796878561568106
112,,0.01105847439048734
113,,0.004416058192353929
114,,-0.004729902185156081
115,,-0.013690172872486646
116,,-0.015619502619351869
117,,-0.022180967115351696
118,,-0.009635081486472968
119,,-0.0029843368141571
120,,0.004559703695325515
121,,0.00020313227118249626
122,,-0.01058745235318835
123,,-0.016886394829187027
124,,-0.014122408630905735
125,,-0.011745037586870078
126,,-0.013564431083381356
127,,-0.011375396948592846
128,,-0.001383925847730771
129,,0.009224499973603624
130,,0.013908736589308638
131,,0.009805068675569562
132,,0.005906066215573796
133,,-0.002689199625378172
134,,-0.01416985646507705
135,,-0.012962610210815444
136,,-0.008025161986994739
137,,-0.0051358407901715315
138,,-0.008137521236460717
139,,-0.007052931374373896
140,,-0.008523796694565138
141,,-0.007691573906697432
142,,-0.006789431061887896
143,,-0.012295745927761484
144,,-0.008549375976481116
145,,-0.008605106163577608
146,,-0.001799115311932472
147,,0.0007902592519903641
148,,0.0014054595902371942
149,,0.009946279662730814
150,,0.01849170911533139
151,,0.01855045820747263
152,,0.02468064403215429
153,,0.029198480535723086
154,,0.03547200341441919
155,,0.03677423281833727
156,,0.05043733606421032
157,,0.04925489184618033
158,,0.06102613328345165
159,,0.06669451609318765
160,,0.07386640563800975
161,,0.09722401902130645
162,,0.1253290537536029
163,,0.13199526286584448
164,,0.12619741018083283
165,,0.11636430686994244
166,,0.11234473065705809
167,,0.1108546795123713
168,,0.10596048943691742
169,,0.08553813012109157
170,,0.08435883340231866
171,,0.06300272712102509
172,,0.05457207424984743
173,,0.043159956629738414
174,,0.038812580157648505
175,,0.03937379647794908
176,,0.055415047388045896
177,,0.024206113140322172
178,,0.014533966822309785
179,,0.019024827818097
180,,0.01914291782081006
181,,0.02479651654568364
182,,0.02375018279858487
183,,0.027610724432968244
184,,0.02416066511054985
185,,0.02634941781114355
186,,0.021826231991549237
187,,0.011115966925856901
188,,0.018884835843785436
189,,0.02017135522813771
190,,0.01841730884474781
191,,0.021724703107647767
192,,0.022157264252134826
193,,0.028448804605053935
194,,0.026457511553243804
195,,0.02888403115739916
196,,0.03136008137304048
197,,0.041764573549210725
198,,0.04841507699996502
199,,0.048628274551497264
200,,0.04593183603598202
